Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
87TH282,20460108,14HO2402,HIGH-SIGHTS GANNON LUCK-ET,20390213,,,,,
87TH249,22430045,9HO1489,GLEN-TOCTIN SLOCUM,22350021,22350021(โก๊ะ),,,,
87TH268,22440641,9HO2017,BLOK-BROS OSCAR VISTA-ET,25350609,25350609แอ้,,,,
116HF,25385345,8HO2394,MAPLELEAF-E ROT MISTIQUE-ET,25330644,,,,,
133HF,27390010,14HO1440,ZIELLAND FAST FUTURE,25340038,25340038 (ใหม่),,,,
145HF,27390284,1HO0414,TESK-HOLM VALIANT ROCKIE,25320053,25320053 พุ่มพวง,,,,
146HF,27390291,1HO0414,TESK-HOLM VALIANT ROCKIE,25330678,25330678เงิน,,,,
127HF,27391510,14HO1440,ZIELLAND FAST FUTURE,25320643,,,,,
87.5TH198,27401608,29HO6183,LA-POE K HARDTAC-ET,25320610,,,,,
134HF,30390366,9HO1253,BEATYVIEW WCM RYAN-TWIN,30330006,,,,,
143HF,30390700,7HO3668,LANGACRES BIG TIME-ET,30360655,,,,,
178HF,30400552,8HO2506,RANSOM-RAIL MR.NOLAN(1HO2506),30360086,,,,,
87.5TH201,30410701,8HO1915,PICKARD-ACRES VIC KAI,30351247,,,,,
078HF,370919,9HO0924,OPPERMAN TONG-ET,X000158,,,,,
164HF,40400002,14HO1440,ZIELLAND FAST FUTURE,40351192,40351192โชค,,,,
87.5TH216,40411233,7HO4211,END-ROAD BLACKSTAR MAJIC-ET,400120760,,,,,
87TH241,40420052,7HO4149,DIAMOND-W WIND KADDY-ETS,40390381,,,,,
054HF,50350003,29HO5285,PECKS HOW-EL VALIANT TRAVIS,706,,,,,
055HF,50350004,8HO1258,BIT-O-WIND STARWAR,1123-6512,,,,,
057HF,50350006,1HO1464,BIS-MAY TRADITION CLEITUS,1671,,,,,
058HF,50350007,29HO5296,SOUTHWIND BELL OF BAR-LEE,96643,,,,,
061HF,50360001,8HO1523,CA-LILL BELLTONE,65-1272,,,,,
062HF,50360002,73HO0332,GLENAFTON ENHANCER,65-2607,,,,,
097HF,50380001,8HO0623,PACK-HERD CHAIRMAN BERTH,50310256,,,,,
098HF,50380002,8HO0585,MARLU OUTLOOK,รุ่งคำ,,,,,
094HF,50380003,7HO2203,CAL-CHRIS ROTATION,50330065,,,,,
126HF,50390001,73HO0431,HANOVERHILL STARBUCK,50310551,,,,,
121HF,50390002,71HO0580,BRIDON ASTRO JET-ET,50300406,50300406(ม๊อกก้า,,,,
135HF,50390005,8HO2506,RANSOM-RAIL MR.NOLAN(1HO2506),50350812,,,,,
165HF,50400001,9HO1488,ROCKALLI VANQUISH-ET,50330139,50330139อ้อย,,,,
181HF,50400003,7HO3668,LANGACRES BIG TIME-ET,50310974,,,,,
182HF,50400004,7HO3668,LANGACRES BIG TIME-ET,50350073,50350073 (น้ำค้า,,,,
183HF,50400006,8HO2151,HOLLY-DELL NICK-ET,50300193,50300193 (บุญค้ำ,,,,
184HF,50400007,7HO3668,LANGACRES BIG TIME-ET,50320359,50320359 (เป๋ 2),,,,
185HF,50400008,8HO2151,HOLLY-DELL NICK-ET,50321516,50321516 (โกยเงิ,,,,
188HF,50400013,7HO3668,LANGACRES BIG TIME-ET,50300174,,,,,
87.5TH217,50410004,9HO1488,ROCKALLI VANQUISH-ET,50340260,หลง,,,,
87.5TH218,50410005,7HO3739,EMERALD-ACRES-SA TONIC-ET,50330881,ดวงพร,,,,
87TH232,50410009,1HO2714,AG-HIGH SIGHTS BS INGOT-ET,50300174,คำเป้น,,,,
87TH242,50420002,8HO1915,PICKARD-ACRES VIC KAI,50321514,50321514(บัวแก้ว,,,,
87TH248,50420009,14HO1886,DINOMI MELWOOD TOUCH,50350073,50350073(น้ำค้าง,,,,
189HF,64400101,9HO1097,BAYVILLE DAMION-ET,60320073,,,,,
87.5TH219,64410503,8HO2394,MAPLELEAF-E ROT MISTIQUE-ET,64370008,,,,,
118HF,67380401,8HO1659,HICKS-HOLLOW PROMPT,67340008,,,,,
108HF,67381181,9HO0924,OPPERMAN TONG-ET,67320075,,,,,
106HF,67390146,7HO1964,PLUSHANSKI J BUCKEYE-ET,67320261,,,,,
87TH246,67420092,8HO2394,MAPLELEAF-E ROT MISTIQUE-ET,67320186,67320186(แดง),,,,
87TH247,67420432,1HO0789,DUNCAN BLACK ROMEO-ET,67320042,,,,,
120HF,67930143,7HO1964,PLUSHANSKI J BUCKEYE-ET,67320261,,,,,
066HF,70360451,29HO3064,TWIN-LAWN ELEVATION JASON,ทองทรัพย์,,,,,
067HF,70360932,1HO1464,BIS-MAY TRADITION CLEITUS,ทองคำ,,,,,
073HF,70361030,7HO2203,CAL-CHRIS ROTATION,77310351,77310351(ฉวีวรรณ,,,,
080HF,70363479,8HO1258,BIT-O-WIND STARWAR,004,,,,,
081HF,70373470,1HO1464,BIS-MAY TRADITION CLEITUS,137,,,,,
166HF,70404001,9HO1536,ALVERE MARK SILVER-ET,70314642,70314642อรษา,,,,
87.5TH220,70410009,9HO1489,GLEN-TOCTIN SLOCUM,70345691,ลูกด่าง,,,,
194HF,71400078,9HO1289,ART-ACRES NED BOY OSCAR-ET,71330106,71330106 (กำไร),,,,
070HF,76360046,71HO0580,BRIDON ASTRO JET-ET,70291045,70291045(ตุ้ม),,,,
153HF,77401701,29HO3064,TWIN-LAWN ELEVATION JASON,AN40345,AN40345 (เคลียร์,,,,
87.5TH207,77410002,29HO3064,TWIN-LAWN ELEVATION JASON,77380032,,,,,
87TH269,77441621,7HO4152,KENJO PRESCOTT,77381535,77381535ลอง,,,,
E.MAGIC/2,E.MAGIC,,,,,,,,
E-CLUSIVE91,E-CLUSIVE91,EXCLUSIVE,,ดลใจ,,,,,
E-FD-1/29,E-FD-1/29,,,,,,,,
E-FRED,E-FRED50,FRED,,51,,,,,
E-GVJ-1/29,E-GVJ-1/29,,,,,,,,
E-JOE,E-JOE46,11HO2132,CARNATION GLENVIEW JOE-ET,408,,,,,
E-KLOND75,E-KLOND75,73HO0426,EDWARDALE PATRICK KLONDIKE,Z200133,,,,,
E-MAGIC/1,E-MAGIC/1,,,,,,,,
E-MAGIC/2,E-MAGIC/2,11HO1273,JOLIAM MONITOR STANDO MAGIC,613,,,,,
E-MARVEX55,E-MARVEX55,5H175,,มยุรา,,,,,
E-SMG-1/29,E-SMG-1/29,,,,,,,,
E-SMG-2/29,E-SMG-2/29,,,,,,,,
085HF,NM-30335,7HO1964,PLUSHANSKI J BUCKEYE-ET,NM20335,,,,,
S-KIT,S-KIT,,,,,,,,
S-MAGIC/1,S-MAGIC/1,,,,,,,,
S-MAGIC/2,S-MAGIC/2,,,,,,,,
049HF,Z131723,1HO0406,THONYMA SECRET,76291042,76291042(ด่าง),,,,
16643,เผดิม,,AAV.KERN,1644,,,,,
16713,ผยอง,,,,,,,,
16806,ผยน,,,,,,,,
17482,ผาด,,,,,,,,
17483,ผจญ,,,,,,,,
2150,ผ่อง,,,,,,,,
75HF25NA,75HF25NA,,,,,,,,
8422,ผกา,,,,,,,,
87.5HF12.5NA,87.5HF12.5NA,,100%HF,,75%HF25%NA,,,,
9002,แผน,2635,โซล,4974,,,,,
9022,แพนเตอร์,397239,R.DEWMACK,14682,,,,,
9023,พรีเมียร์,FB2452,RHYDYDELYN DEWMACK,72810,,,,,
9030,เพิร์ล,FB2452,RHYDYDELYN DEWMACK,78933,,,,,
9038,ปีเตอร์,K.RIVER,,60439,,,,,
9088,พาสปอร์ต,11HO1479,ROYALTY,41905,,,,,
9112,ไพลอน,11HO1480,ROYALTY,SK10243,,,,,
9113,พอน,11HO2188,FRED,SK00057,ดารณี,,,,
9114,แพดดี้,2002241,BIFF GOLDEN-GENES TRAD-ET,,ชาเขียว,,,,
9126,พรีเพอร์,,V.ROCKIE,ML25409,,,,,
9128,ไพมารี่,,K.RIVER,ML05150,นกยูง,,,,
9129,พีค,,BRAVO,SK00087,,,,,
9130,เพรสซิเดนท์,11HO1709,FRIDAY,ML16788,แนลซี่,,,,
9131,พริม,,BRAVO,ML1005,,,,,
9132,พับริค,11HO1709,FRIDAY,SK30024,,,,,
